PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,GWP,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day,PC%,FA%,SC%,AEA_pct,WR_HR_pct,WR_pct,ACC_pct
177.99,71.196,106.794,0.0,717.893,1111.251,135.866,0.1854,0.0,1.1124,0.0,355.98,244.058,0.3816675094106411,0.19461562348289693,0.5,0.6075251593094912,0.3924748406905088,38.7794,57.6747,64.6139,0.5,0.19999999999999998,0.3,0.0005208157761657374,0.0,0.003124894656994424,0.0
177.99,71.196,106.794,0.0,717.893,1127.27,135.272,0.0853,0.0,1.2978,0.0,355.98,244.117,0.3799988763413675,0.19292604501607719,0.5,0.6109324758842444,0.3890675241157556,39.31,54.8384,60.2084,0.5,0.19999999999999998,0.3,0.00023962020338153935,0.0,0.0036457104331601617,0.0
177.99,71.196,106.794,0.0,717.893,1127.27,135.272,0.1854,0.0,1.1124,0.0,355.98,244.117,0.3799988763413675,0.19292604501607719,0.5,0.6109324758842444,0.3890675241157556,38.3952,53.3173,59.0946,0.5,0.19999999999999998,0.3,0.0005208157761657374,0.0,0.003124894656994424,0.0
177.99,71.196,106.794,0.0,717.893,1127.27,137.646,0.1483,1.6686,1.6686,0.0,355.98,244.117,0.38666779032529913,0.19292604501607719,0.5,0.6109324758842444,0.3890675241157556,37.6692,54.9669,60.7426,0.5,0.19999999999999998,0.3,0.00041659643800096463,0.0046873419854916365,0.0046873419854916365,0.0
177.99,71.196,106.794,0.0,717.893,1170.581,135.272,0.0853,0.0,1.2978,0.0,355.98,244.277,0.3799988763413675,0.18850140377892416,0.5,0.6198555023791696,0.3801444976208304,39.3346,57.5282,60.7227,0.5,0.19999999999999998,0.3,0.00023962020338153935,0.0,0.0036457104331601617,0.0
177.99,71.196,106.794,0.0,741.625,1038.275,141.799,0.1854,1.6686,1.4461,0.0,355.98,243.849,0.3983341760773077,0.2,0.5,0.5833333333333334,0.41666666666666663,34.1773,51.9175,62.2511,0.5,0.19999999999999998,0.3,0.0005208157761657374,0.0046873419854916365,0.004062306871161126,0.0
177.99,71.196,106.794,0.0,744.592,1103.538,138.832,0.0667,0.0,1.3349,0.0,355.98,244.098,0.3899994381706837,0.19261632028049974,0.5,0.5971105928695492,0.40288940713045074,33.1293,52.3772,61.7426,0.5,0.19999999999999998,0.3,0.00018737007697008996,0.0,0.003749929771324934,0.0
177.99,74.163,220.114,0.0,787.902,964.113,136.459,0.0,0.5562,1.854,0.0,472.26700000000005,274.585,0.28894460125310467,0.2695564821077445,0.6231157374959503,0.5502880968484859,0.4497119031515141,57.5007,90.9238,97.8084,0.3768842625040496,0.15703616809982487,0.46607956939612544,0.0,0.0011777236182050031,0.003925745394016677,0.0
177.99,76.536,217.741,14.239,793.835,968.859,131.713,0.0,0.445,1.5944,0.0,472.26700000000005,274.855,0.2788952012315067,0.26792341722386304,0.6231157374959504,0.5496467339197841,0.45035326608021586,69.3681,101.9865,107.8116,0.3768842625040496,0.16206086811062384,0.46105486938532647,0.0,0.0009422635924150061,0.003376056341003339,0.0
177.99,88.995,88.995,0.0,730.352,1020.476,143.579,0.0445,0.0,1.3349,0.0,355.98,244.893,0.40333445699196585,0.20332094300525239,0.5,0.5828533699483901,0.41714663005160985,38.1607,55.6243,60.7084,0.5,0.25,0.25,0.000125007022866102,0.0,0.003749929771324934,0.0
